References,TYPE,COUNT,CO_SIZE
MBL,MB,TotalCartons_MB,CTNS
CO,CO,CTNS_PER_CO,CO_SIZE
PO,PO,X,X
APLU056379443,MB,1350,CTNS
CMAU7025448,CO,524,40H
3789688,PO,X,X
CMAU7108080,CO,241,40H
3810712,PO,X,X
CMAU7470649,CO,345,40H
SEGU6370280,CO,240,40H
3789703,PO,X,X
